Software,Function name,Called time,Log time,Log Level,Weight,Keyword
4,register_pattern_procs,1,0,0,0.5000,procs
4,register_pattern_select_procs,1,0,0,0.5000,procs
4,register_patterns_procs,1,0,0,0.5000,procs
4,register_plug_in_procs,1,0,0,0.5000,procs
4,register_procedural_db_procs,1,0,0,0.5000,procs
4,register_progress_procs,1,0,0,0.8000,progress
4,register_selection_procs,1,0,0,0.5000,procs
4,register_selection_tools_procs,1,0,0,0.5000,procs
4,register_text_layer_procs,1,0,0,0.5000,procs
4,register_text_tool_procs,1,0,0,0.5000,procs
4,register_transform_tools_procs,1,0,0,0.5000,procs
4,register_undo_procs,1,0,0,0.5000,procs
4,register_unit_procs,1,0,0,0.5000,procs
4,register_vectors_procs,1,0,0,0.5000,procs
4,gimp_data_factory_data_new,5,0,0,0.0794,data
4,g_value_take_string,68,0,0,0.0573,string
4,gimp_data_factory_data_duplicate,4,0,0,0.0794,data
4,gimp_data_is_deletable,12,2,6,1.0000,deletable
4,gimp_data_factory_data_delete,4,1,2,0.0794,data
4,gimp_value_take_int8array,12,0,0,0.2727,t8
4,gimp_pdb_get_generated_brush,12,0,0,0.1852,get
4,gimp_pdb_dialog_new,5,0,0,0.1000,pdb
4,gimp_pdb_dialog_close,5,0,0,0.1432,close
4,gimp_pdb_dialog_set,5,0,0,0.1000,pdb
4,gimp_data_factory_data_refresh,6,0,0,0.6102,refresh
4,gimp_container_get_filtered_name_array,7,0,0,0.2880,name
4,gimp_value_take_stringarray,22,0,0,0.0573,string
4,gimp_pdb_get_buffer,8,0,0,0.1852,get
4,gimp_value_get_channel,16,0,0,0.1852,get
4,gimp_channel_ops_get_type,20,0,0,0.4648,type
4,gimp_value_get_drawable,106,0,0,0.1852,get
4,gimp_drawable_brightness_contrast,1,0,0,0.0000,contrast
4,gimp_drawable_levels,1,0,0,0.0000,levels
4,gimp_drawable_levels_stretch,3,0,0,0.0000,levels
4,gimp_drawable_posterize,1,0,0,0.0000,ize
4,gimp_drawable_desaturate,2,0,0,0.0339,de
4,gimp_drawable_equalize,2,0,0,-1.0000,
4,gimp_drawable_invert,2,0,0,0.0000,invert
4,gimp_drawable_curves_spline,1,0,0,0.0000,curves
4,gimp_drawable_curves_explicit,1,0,0,0.5161,explicit
4,gimp_drawable_color_balance,1,0,0,0.0000,color
4,gimp_drawable_colorize,1,0,0,-1.0000,
4,gimp_histogram_get_std_dev,2,0,0,0.1852,get
4,gimp_histogram_get_median,2,0,0,0.1852,get
4,gimp_drawable_hue_saturation,1,0,0,-1.0000,
4,gimp_drawable_threshold,1,0,0,0.0000,threshold
